ID,button_class,button_method,button_type,button_service,method_paramter,disable,Component_ID,date_modify,date_create
1,btn-primary,onSubmit,submit,/Email/saveorupdate,NULL,1,5,"2020-01-04 14:17:05","2020-01-04 14:17:05"
2,btn-primary,tableaction,submit,/Email/saveorupdate,NULL,1,10,"2020-01-04 14:17:05","2020-01-04 14:17:05"
3,btn-secondary,tableaction,submit,/Email/delete,NULL,1,11,"2020-01-04 14:17:05","2020-01-04 14:17:05"
4,btn-primary,onSubmit,submit,/Tele/saveorupdate,NULL,1,16,"2020-01-04 14:17:05","2020-01-04 14:17:05"
5,btn-primary,tableaction,submit,/Tele/saveorupdate,NULL,1,21,"2020-01-04 14:17:05","2020-01-04 14:17:05"
6,btn-secondary,tableaction,submit,/Tele/delete,NULL,1,22,"2020-01-04 14:17:05","2020-01-04 14:17:05"
7,btn-primary,onSubmit,submit,/Page/saveorupdate,NULL,1,25,"2020-01-04 14:17:05","2020-01-04 14:17:05"
8,btn-primary,tableaction,submit,/Page/saveorupdate,NULL,1,28,"2020-01-04 14:17:05","2020-01-04 14:17:05"
9,btn-secondary,tableaction,submit,/Page/delete,NULL,1,29,"2020-01-04 14:17:05","2020-01-04 14:17:05"
10,btn-primary,onSubmit,submit,/User/saveorupdate,NULL,1,41,"2020-01-04 14:17:05","2020-01-04 14:17:05"
11,btn-secondary,resetform,submit,NULL,NULL,0,42,"2020-01-04 14:17:05","2020-01-04 14:17:05"
12,btn-primary,tableaction,submit,/User/saveorupdate,NULL,1,51,"2020-01-04 14:17:05","2020-01-04 14:17:05"
13,btn-secondary,displayupdate,submit,/User/filebyuser,id,1,52,"2020-01-04 14:17:05","2020-01-04 14:17:05"
14,btn-primary,displayupdate,submit,/Device/page,id,1,65,"2020-01-04 14:17:05","2020-01-04 14:17:05"
15,btn-secondary,tableaction,submit,/Device/saveorupdate,NULL,1,66,"2020-01-04 14:17:05","2020-01-04 14:17:05"
16,btn-primary,onSubmit,submit,/Flow/saveorupdate,NULL,1,72,"2020-01-04 14:17:05","2020-01-04 14:17:05"
17,btn-primary,tableaction,submit,/Flow/saveorupdate,NULL,1,76,"2020-01-04 14:17:05","2020-01-04 14:17:05"
18,btn-primary,onSubmit,submit,/Currency/saveorupdate,NULL,1,81,"2020-01-04 14:17:05","2020-01-04 14:17:05"
19,btn-primary,tableaction,submit,/Currency/saveorupdate,NULL,1,86,"2020-01-04 14:17:05","2020-01-04 14:17:05"
20,btn-primary,onSubmit,submit,/text/saveorupdate,NULL,1,91,"2020-01-04 14:17:05","2020-01-04 14:17:05"
21,btn-primary,tableaction,submit,/text/saveorupdate,NULL,1,96,"2020-01-04 14:17:05","2020-01-04 14:17:05"
22,btn-secondary,tableaction,submit,/text/delete,NULL,1,97,"2020-01-04 14:17:05","2020-01-04 14:17:05"
23,btn-primary,onSubmit,submit,/langs/saveorupdate,NULL,1,100,"2020-01-04 14:17:05","2020-01-04 14:17:05"
24,btn-primary,tableaction,submit,/langs/saveorupdate,NULL,1,103,"2020-01-04 14:17:05","2020-01-04 14:17:05"
25,btn-primary,onSubmit,submit,/Userlogin/saveorupdate,NULL,1,108,"2020-01-04 14:17:05","2020-01-04 14:17:05"
26,btn-primary,tableaction,submit,/Userlogin/saveorupdate,NULL,1,113,"2020-01-04 14:17:05","2020-01-04 14:17:05"
27,btn-primary,onSubmit,submit,/login/saveorupdate,NULL,1,116,"2020-01-04 14:17:05","2020-01-04 14:17:05"
